region,zone,woreda,ADM3_PCODE
Oromia,Buno Bedele,Dega,ET041604
Oromia,Buno Bedele,Dabo Hana,ET041605
Oromia,Buno Bedele,Gechi,ET041606
Oromia,Buno Bedele,Borecha,ET041607
Oromia,Buno Bedele,Dedesa,ET041608
Oromia,Buno Bedele,Meko,ET041618
Oromia,Buno Bedele,Bedele town,ET041621
Oromia,Buno Bedele,Bedele Zuria,ET041622
Oromia,Buno Bedele,Chwaka,ET041623
Oromia,West Arsi,Dodola town,ET041700
Oromia,West Arsi,Siraro,ET041701
Oromia,West Arsi,Shala,ET041702
Oromia,West Arsi,Arsi Negele,ET041703
Oromia,West Arsi,Kofele,ET041704
Oromia,West Arsi,Kore,ET041705
Oromia,West Arsi,Gedeb Asasa,ET041706
Oromia,West Arsi,Dodola,ET041707
Oromia,West Arsi,Kokosa,ET041708
Oromia,West Arsi,Nenesebo,ET041709
Oromia,West Arsi,Adaba,ET041710
Oromia,West Arsi,Shashemene town,ET041711
Oromia,West Arsi,Shashemene Zuria,ET041712
Oromia,West Arsi,Heban Arsi,ET041783
Oromia,West Arsi,Wondo,ET041797
Oromia,West Arsi,Bishan Guracha,ET041798
Oromia,West Arsi,Arsi Negele town,ET041799
Oromia,Kelem Wellega,Hawa Galan,ET041801
Oromia,Kelem Wellega,Yama Logi Welel,ET041802
Oromia,Kelem Wellega,Dale Wabera,ET041803
Oromia,Kelem Wellega,Gawo Kebe,ET041804
Oromia,Kelem Wellega,Sayo,ET041805
Oromia,Kelem Wellega,Denbi Dollo town,ET041806
Oromia,Kelem Wellega,Anfilo,ET041807
Oromia,Kelem Wellega,Dale Sadi,ET041808
Oromia,Kelem Wellega,Gidami,ET041809
Oromia,Kelem Wellega,Jimma Horo,ET041810
Oromia,Kelem Wellega,Lalo Kile,ET041811
Oromia,Kelem Wellega,Sedi Chenka,ET041812
Oromia,Horo Gudru Wellega,Horo,ET041901
Oromia,Horo Gudru Wellega,Shambu town,ET041902
Oromia,Horo Gudru Wellega,Guduru,ET041903
Oromia,Horo Gudru Wellega,Ababo,ET041904
Oromia,Horo Gudru Wellega,Abay Chomen,ET041905
Oromia,Horo Gudru Wellega,Jimma Genete,ET041906
Oromia,Horo Gudru Wellega,Jimma Rare,ET041907
Oromia,Horo Gudru Wellega,Jarte Jardega,ET041908
Oromia,Horo Gudru Wellega,Amuru,ET041909
Oromia,Horo Gudru Wellega,Abe Dongoro,ET041910
Oromia,Horo Gudru Wellega,Choman Guduru,ET041911
Oromia,Horo Gudru Wellega,Horo Buluk,ET041912
Oromia,Finfine Special,Burayu,ET042001
Oromia,Finfine Special,Lege Tafo-Lege Dadi town,ET042004
Oromia,Finfine Special,Sululta town,ET042005
Oromia,Finfine Special,Sebeta Hawas,ET042006
Oromia,Finfine Special,Dukem,ET042008
Oromia,Finfine Special,Sebeta town,ET042009
Oromia,Finfine Special,Bereh,ET042011
Oromia,Finfine Special,Akaki,ET042012
Oromia,Finfine Special,Sululta,ET042013
Oromia,Finfine Special,Welmera,ET042014
Oromia,Finfine Special,Mulo,ET042016
Oromia,Finfine Special,Sendafa town,ET042018
Oromia,Finfine Special,Holeta town,ET042020
Oromia,Finfine Special,Gelana (Finfine),ET042098
Oromia,East Bale,Gololcha Bale,ET042101
Oromia,East Bale,Lege Hida,ET042102
Oromia,East Bale,Ginir,ET042103
Oromia,East Bale,Rayitu,ET042104
Oromia,East Bale,Seweyna,ET042105
Oromia,East Bale,Dawe Ketchen,ET042106
Oromia,East Bale,Ginir town,ET042107
Somali,Siti,Ayisha,ET050101
Somali,Siti,Dembel,ET050102
Somali,Siti,Shinile,ET050103
Somali,Siti,Erer (SM),ET050104
Somali,Siti,Afdem,ET050105
Somali,Siti,Hadhagala,ET050106
Somali,Siti,Miesso,ET050107
Somali,Siti,Gota-Biki,ET050198
Somali,Siti,Gablalu,ET050199
Somali,Fafan,Gursum (SM),ET050202
Somali,Fafan,Babile (SM),ET050203
Somali,Fafan,Shabeeley,ET050204
Somali,Fafan,Aw-Bare,ET050205
Somali,Fafan,Kebribeyah,ET050206
Somali,Fafan,Harshin,ET050207
Somali,Fafan,Tuliguled,ET050283
Somali,Fafan,Goljano,ET050290
Somali,Fafan,Jigjiga town,ET050293
Somali,Fafan,Wajale town,ET050295
Somali,Fafan,Kebribayah town,ET050296
Somali,Fafan,Koran /Mulla,ET050297
Somali,Fafan,Haroreys,ET050298
Somali,Fafan,Harawo,ET050299
Somali,Jarar,Degehamedo,ET050301
Somali,Jarar,Degehabur,ET050302
Somali,Jarar,Aware,ET050303
Somali,Jarar,Gashamo,ET050304
Somali,Jarar,Gunagado,ET050305
Somali,Jarar,Bilcil-Bur,ET050306
Somali,Jarar,Degahabur town,ET050307
Somali,Jarar,Yocale,ET050382
Somali,Jarar,Daror,ET050392
Somali,Jarar,Burqod,ET050394
Somali,Jarar,Ararso,ET050395
Somali,Jarar,Dig,ET050399
Somali,Erer,Fik,ET050402
Somali,Erer,Salahad,ET050403
Somali,Erer,Hamero,ET050404
Somali,Erer,Lagahida,ET050407
Somali,Erer,Meyumuluka,ET050408
Somali,Erer,Qubi,ET050497
Somali,Erer,Yahob,ET050498
Somali,Erer,Wangey,ET050499
Somali,Korahe,Shaygosh,ET050501
Somali,Korahe,Kebridehar,ET050502
Somali,Korahe,Shilabo,ET050503
Somali,Korahe,Debeweyin,ET050504
Somali,Korahe,Marsin,ET050586
Somali,Korahe,Kebridehar town,ET050592
Somali,Korahe,Goglo,ET050595
Somali,Korahe,Lasdhankayre,ET050596
Somali,Korahe,Higloley,ET050597
Somali,Korahe,El-Ogaden,ET050598
Somali,Korahe,Bodaley,ET050599
Somali,Shabelle,East Imi,ET050601
Somali,Shabelle,Adadle,ET050602
Somali,Shabelle,Danan,ET050603
Somali,Shabelle,Gode,ET050604
Somali,Shabelle,Kelafo,ET050605
Somali,Shabelle,Mustahil,ET050606
Somali,Shabelle,Ferfer,ET050607
Somali,Shabelle,Berocano,ET050608
Somali,Shabelle,Godey town,ET050696
Somali,Shabelle,Elale,ET050698
Somali,Shabelle,Aba-Korow,ET050699
Somali,Doolo,Danod,ET050701
Somali,Doolo,Bokh,ET050702
Somali,Doolo,Galadi,ET050703
Somali,Doolo,Warder,ET050704
Somali,Doolo,Daratole,ET050788
Somali,Doolo,Lehel-Yucub,ET050798
Somali,Doolo,Galhamur,ET050799
Somali,Afder,Charati,ET050802
Somali,Afder,Elkare /Serer,ET050804
Somali,Afder,West Imi,ET050805
Somali,Afder,Hargele,ET050806
Somali,Afder,Barey,ET050807
Somali,Afder,Dolobay,ET050808
Somali,Afder,Raso,ET050809
Somali,Afder,Kohle /Qoxle,ET050898
Somali,Afder,God-God,ET050899
Somali,Liban,Filtu,ET050901
Somali,Liban,Dolo Ado,ET050902
Somali,Liban,Goro Baqaqsa,ET050903
Somali,Liban,Guradamole,ET050904
Somali,Liban,Deka Suftu,ET050991
Somali,Liban,Bokolmayo,ET050999
Somali,Nogob,Ayun,ET051001
Somali,Nogob,Elwayne,ET051002
Somali,Nogob,Garbo,ET051003
Somali,Nogob,Sagag,ET051005
Somali,Nogob,Dihun,ET051006
Somali,Nogob,Horshagah,ET051095
Somali,Nogob,Hararey,ET051096
Somali,Daawa,Moyale (SM),ET051103
Somali,Daawa,Hudet,ET051104
Somali,Daawa,Mubarek,ET051187
Somali,Daawa,Qada Duma,ET051198
Benishangul Gumz,Metekel,Gilgel Beles town,ET060200
Benishangul Gumz,Metekel,Dangur,ET060201
Benishangul Gumz,Metekel,Guba,ET060202
Benishangul Gumz,Metekel,Wembera,ET060203
Benishangul Gumz,Metekel,Mandura,ET060204
Benishangul Gumz,Metekel,Dibate,ET060205
Benishangul Gumz,Metekel,Pawe,ET060206
Benishangul Gumz,Metekel,Bulen,ET060207
Benishangul Gumz,Assosa,Menge,ET060301
Benishangul Gumz,Assosa,Kurmuk,ET060302
Benishangul Gumz,Assosa,Assosa,ET060303
Benishangul Gumz,Assosa,Sherkole,ET060304
Benishangul Gumz,Assosa,Bambasi,ET060305
Benishangul Gumz,Assosa,Bilidigilu,ET060306
Benishangul Gumz,Assosa,Homosha,ET060307
Benishangul Gumz,Assosa,Undulu,ET060308
Benishangul Gumz,Assosa,Assosa town Administration,ET060309
Benishangul Gumz,Kamashi,Kamashi town,ET060400
Benishangul Gumz,Kamashi,Zayi,ET060401
Benishangul Gumz,Kamashi,Sedal,ET060402
Benishangul Gumz,Kamashi,Kamashi,ET060403
Benishangul Gumz,Kamashi,Dembe,ET060404
Benishangul Gumz,Kamashi,Mizyiga,ET060405
Benishangul Gumz,Mao Komo Special,Maokomo Special,ET060508
Central Ethiopia,Guraghe,Kebena,ET070101
Central Ethiopia,Guraghe,Abeshege,ET070102
Central Ethiopia,Guraghe,Ezha,ET070103
Central Ethiopia,Guraghe,Gedebano Gutazer Welene,ET070104
Central Ethiopia,Guraghe,Sodo,ET070105
Central Ethiopia,Guraghe,Meskan,ET070106
Central Ethiopia,Guraghe,Mareko,ET070107
Central Ethiopia,Guraghe,Endiguagn,ET070108
Central Ethiopia,Guraghe,Gumer,ET070109
Central Ethiopia,Guraghe,Cheha,ET070110
Central Ethiopia,Guraghe,Enemor Ener,ET070111
Central Ethiopia,Guraghe,Muhur Na Aklil,ET070112
Central Ethiopia,Guraghe,Geta,ET070113
Central Ethiopia,Guraghe,Welkite town,ET070114
Central Ethiopia,Guraghe,Butajira town,ET070115
Central Ethiopia,Guraghe,Emdebir town,ET070116
Central Ethiopia,Guraghe,Bui town,ET070117
Central Ethiopia,Guraghe,Misrak Meskan,ET070118
Central Ethiopia,Guraghe,Debub Sodo,ET070119
Central Ethiopia,Guraghe,Enor Ener,ET070120
Central Ethiopia,Hadiya,Misha,ET070201
Central Ethiopia,Hadiya,Gombora,ET070202
Central Ethiopia,Hadiya,Lemmo,ET070203
Central Ethiopia,Hadiya,Shashogo,ET070204
Central Ethiopia,Hadiya,Misrak Badawacho,ET070205
Central Ethiopia,Hadiya,Soro,ET070206
Central Ethiopia,Hadiya,Duna,ET070207
Central Ethiopia,Hadiya,Analemmo,ET070208
Central Ethiopia,Hadiya,Mirab Badowach,ET070209
Central Ethiopia,Hadiya,Gibe,ET070210
Central Ethiopia,Hadiya,Hosaena town,ET070211
Central Ethiopia,Hadiya,Shone Town,ET070212
Central Ethiopia,Hadiya,Gimbichu town,ET070213
Central Ethiopia,Hadiya,Jajura town,ET070214
Central Ethiopia,Hadiya,Ameka,ET070215
Central Ethiopia,Hadiya,Siraro Badawacho,ET070216
Central Ethiopia,Hadiya,Mirab Soro,ET070217
Central Ethiopia,Kembata Tembaro,Tembaro,ET070301
Central Ethiopia,Kembata Tembaro,Angacha,ET070302
Central Ethiopia,Kembata Tembaro,Kediada Gambela,ET070303
Central Ethiopia,Kembata Tembaro,Kacha Bira,ET070304
Central Ethiopia,Kembata Tembaro,Hadero Tunto,ET070305
Central Ethiopia,Kembata Tembaro,Doyogena,ET070306
Central Ethiopia,Kembata Tembaro,Damboya,ET070307
Central Ethiopia,Kembata Tembaro,Durame town,ET070308
Central Ethiopia,Kembata Tembaro,Adilo,ET070309
Central Ethiopia,Kembata Tembaro,Shinshincho town,ET070310
Central Ethiopia,Kembata Tembaro,Hadero town,ET070312
Southern Ethiopi,Gedeo,Wenago,ET070501
Southern Ethiopi,Gedeo,Yirgachefe,ET070502
Southern Ethiopi,Gedeo,Kochere,ET070503
Southern Ethiopi,Gedeo,Bule,ET070504
Southern Ethiopi,Gedeo,Dila Zuria,ET070505
Southern Ethiopi,Gedeo,Gedeb,ET070506
Southern Ethiopi,Gedeo,Dila town,ET070507
Southern Ethiopi,Gedeo,Chelelektu town,ET070508
Southern Ethiopi,Gedeo,Rape,ET070509
Southern Ethiopi,Gedeo,Churso,ET070510
Southern Ethiopi,Gedeo,Gedeb town,ET070511
Southern Ethiopi,Gedeo,Yirgachefe town,ET070512
Southern Ethiopi,Wolayita,Boloso Sore,ET070601
Southern Ethiopi,Wolayita,Damot Gale,ET070602
Southern Ethiopi,Wolayita,Damot Woide,ET070603
Southern Ethiopi,Wolayita,Humbo,ET070604
Southern Ethiopi,Wolayita,Sodo Zuria,ET070605
Southern Ethiopi,Wolayita,Kindo Koyesha,ET070606
Southern Ethiopi,Wolayita,Ofa,ET070607
Southern Ethiopi,Wolayita,Boloso Bombe,ET070608
Southern Ethiopi,Wolayita,Damot Sore,ET070609
Southern Ethiopi,Wolayita,Kindo Daddaye,ET070610
Southern Ethiopi,Wolayita,Damot Pullasa,ET070611
Southern Ethiopi,Wolayita,Duguna Fango,ET070612
Southern Ethiopi,Wolayita,Sodo Town,ET070613
Southern Ethiopi,Wolayita,Areka town,ET070614
Southern Ethiopi,Wolayita,Boditi town,ET070615
Southern Ethiopi,Wolayita,Tebela town,ET070616
Southern Ethiopi,Wolayita,Gesuba town,ET070617
Southern Ethiopi,Wolayita,Gununo Hamus town,ET070618
Southern Ethiopi,Wolayita,Hobicha Abaya,ET070619
Southern Ethiopi,Wolayita,Kawo Koisha,ET070620
Southern Ethiopi,Wolayita,Abela Abaya,ET070621
Southern Ethiopi,Wolayita,Bayera Koisha,ET070622
Southern Ethiopi,South Omo,Salamago,ET070701
Southern Ethiopi,South Omo,South Ari,ET070702
Southern Ethiopi,South Omo,North Ari,ET070703
Southern Ethiopi,South Omo,Hamer,ET070704
Southern Ethiopi,South Omo,Bena Tsemay,ET070705
Southern Ethiopi,South Omo,Dasenech /Kuraz,ET070706
Southern Ethiopi,South Omo,Malie,ET070707
Southern Ethiopi,South Omo,Nyngatom,ET070708
Southern Ethiopi,South Omo,Jinka town,ET070709
Southern Ethiopi,South Omo,Boko Dawula,ET070710
Southern Ethiopi,South Omo,Wub Ari,ET070711
Southern Ethiopi,Gamo,Selamber town,ET071003
Southern Ethiopi,Gamo,Boreda,ET071004
Southern Ethiopi,Gamo,Mirab Abaya,ET071005
Southern Ethiopi,Gamo,Chencha Zuriya,ET071006
Southern Ethiopi,Gamo,Ezo /Kogota,ET071007
Southern Ethiopi,Gamo,Dita,ET071008
Southern Ethiopi,Gamo,Daramalo,ET071009
Southern Ethiopi,Gamo,Chencha,ET071010
Southern Ethiopi,Gamo,Kemba,ET071011
Southern Ethiopi,Gamo,Kemba town,ET071012
Southern Ethiopi,Gamo,Gerese,ET071013
Southern Ethiopi,Gamo,Bonke,ET071014
Southern Ethiopi,Gamo,Arba Minch Zuria,ET071015
Southern Ethiopi,Gamo,Gacho Baba,ET071016
Southern Ethiopi,Gamo,Kucha Alpha,ET071017
Southern Ethiopi,Gamo,Garda Marta,ET071018
Southern Ethiopi,Gamo,Kucha,ET071019
Southern Ethiopi,Gamo,Arba Minch town,ET071021
Southern Ethiopi,Alle,Alle Special,ET071205
Southern Ethiopi,Konso,Karat town,ET071301
Southern Ethiopi,Konso,Segen Zuria,ET071302
Southern Ethiopi,Konso,Karat Zuria,ET071303
Southern Ethiopi,Konso,Kena,ET071304
Central Ethiopia,Halaba,Kulito town,ET071401
Central Ethiopia,Halaba,Wera,ET071402
Central Ethiopia,Halaba,Atote Ulo,ET071403
Central Ethiopia,Halaba,Wera Djo,ET071404
Southern Ethiopi,Gofa,Melekoza,ET071501
Southern Ethiopi,Gofa,Denba Gofa,ET071502
Southern Ethiopi,Gofa,Zala,ET071503
Southern Ethiopi,Gofa,Uba Debre Tsehay,ET071504
Southern Ethiopi,Gofa,Gezei Gofa,ET071505
Southern Ethiopi,Gofa,O'yida,ET071506
Southern Ethiopi,Gofa,Sawla town,ET071507
Southern Ethiopi,Gofa,Bulike town,ET071508
Southern Ethiopi,Gofa,Melo Gada,ET071509
Southern Ethiopi,Basketo,Basketo SP Woreda,ET071601
Central Ethiopia,Siltie,Alicho Woriro,ET072001
Central Ethiopia,Siltie,Siltie,ET072002
Central Ethiopia,Siltie,Lanfero,ET072003
Central Ethiopia,Siltie,Mierab Azenet Berbere,ET072004
Central Ethiopia,Siltie,Dalocha,ET072005
Central Ethiopia,Siltie,Sankura,ET072006
Central Ethiopia,Siltie,Misrak Azenet Berbere,ET072007
Central Ethiopia,Siltie,Wulbareg,ET072008
Central Ethiopia,Siltie,Tora town,ET072009
Central Ethiopia,Siltie,Worabe town,ET072010
Central Ethiopia,Siltie,Kibet town,ET072011
Central Ethiopia,Siltie,Mito,ET072012
Central Ethiopia,Siltie,Misrak Siltie,ET072013
Southern Ethiopi,Amaro,Amaro,ET072102
Southern Ethiopi,Burji,Burji Special,ET072203
Southern Ethiopi,Derashe,Derashe Special,ET072304
Central Ethiopia,Yem Special,Yem SP Woreda,ET072401
South West Ethiopia,Sheka,Anderacha,ET110101
South West Ethiopia,Sheka,Masha,ET110102
South West Ethiopia,Sheka,Yeki,ET110103
South West Ethiopia,Sheka,Tepi,ET110104
South West Ethiopia,Sheka,Masha town,ET110105
South West Ethiopia,Kefa,Saylem,ET110201
South West Ethiopia,Kefa,Gesha,ET110202
South West Ethiopia,Kefa,Gewata,ET110203
South West Ethiopia,Kefa,Gimbo,ET110204
South West Ethiopia,Kefa,Adiyio,ET110205
South West Ethiopia,Kefa,Tullo,ET110206
South West Ethiopia,Kefa,Cheta,ET110207
South West Ethiopia,Kefa,Decha,ET110208
South West Ethiopia,Kefa,Chena,ET110209
South West Ethiopia,Kefa,Bita,ET110210
South West Ethiopia,Kefa,Bonga town,ET110211
South West Ethiopia,Kefa,Goba (SP),ET110212
South West Ethiopia,Kefa,Shisho Ande,ET110213
South West Ethiopia,Kefa,Wacha,ET110214
South West Ethiopia,Bench Sheko,Sheko,ET110301
South West Ethiopia,Bench Sheko,Gurafereda,ET110302
South West Ethiopia,Bench Sheko,Debub Bench,ET110303
South West Ethiopia,Bench Sheko,Shay Bench,ET110304
South West Ethiopia,Bench Sheko,Semen Bench,ET110305
South West Ethiopia,Bench Sheko,Gidi Bench,ET110306
South West Ethiopia,Bench Sheko,Mizan Aman town,ET110307
South West Ethiopia,Bench Sheko,Size town,ET110308
South West Ethiopia,Dawuro,Tocha,ET110401
South West Ethiopia,Dawuro,Mareka,ET110402
South West Ethiopia,Dawuro,Loma,ET110403
South West Ethiopia,Dawuro,Gena,ET110404
South West Ethiopia,Dawuro,Isara,ET110405
South West Ethiopia,Dawuro,Kachi,ET110406
South West Ethiopia,Dawuro,Tercha Zuriya,ET110407
South West Ethiopia,Dawuro,Mari Mansa,ET110408
South West Ethiopia,Dawuro,Disa,ET110409
South West Ethiopia,Dawuro,Zabagazo,ET110410
South West Ethiopia,Dawuro,Tercha town,ET110411
South West Ethiopia,Dawuro,Gesa town,ET110412
South West Ethiopia,Mirab Omo,Gachit,ET110501
South West Ethiopia,Mirab Omo,Menit Goldiye,ET110502
South West Ethiopia,Mirab Omo,Gori Gesha,ET110503
South West Ethiopia,Mirab Omo,Menit Shasha,ET110504
South West Ethiopia,Mirab Omo,Bero,ET110505
South West Ethiopia,Mirab Omo,Surma,ET110506
South West Ethiopia,Mirab Omo,Maji,ET110507
South West Ethiopia,Konta Special,Konta,ET110601
Gambela,Nuwer,Akobo,ET120101
Gambela,Nuwer,Lare,ET120102
Gambela,Nuwer,Jikawo,ET120103
Gambela,Nuwer,Wantawo,ET120104
Gambela,Nuwer,Makuey,ET120105
Gambela,Agnewak,Gambela National Park,ET120200
Gambela,Agnewak,Abobo,ET120201
Gambela,Agnewak,Gambela Zuria,ET120202
Gambela,Agnewak,Gog,ET120203
Gambela,Agnewak,Jore,ET120204
Gambela,Agnewak,Dima (GM),ET120205
Gambela,Agnewak,Gambela town,ET120206
Gambela,Majang,Godere,ET120301
Gambela,Majang,Mengesh,ET120308
Gambela,Itang Special woreda,Itang,ET120407
Harari,Harari,Sofi,ET130101
Harari,Harari,Shenkor,ET130102
Harari,Harari,Jinela,ET130103
Harari,Harari,Hakim,ET130104
Harari,Harari,Erer (HR),ET130105
Harari,Harari,Dire Teyara,ET130106
Harari,Harari,Amir Nur,ET130107
Harari,Harari,Aboker,ET130108
Harari,Harari,Abadir,ET130109
Addis Ababa,Region 14,Akaki Kality,ET140101
Addis Ababa,Region 14,Nifas Silk Lafto,ET140102
Addis Ababa,Region 14,Kolfe Keraniyo,ET140103
Addis Ababa,Region 14,Bole,ET140104
Addis Ababa,Region 14,Lideta,ET140105
Addis Ababa,Region 14,Kirkos,ET140106
Addis Ababa,Region 14,Yeka,ET140107
Addis Ababa,Region 14,Addis Ketema,ET140108
Addis Ababa,Region 14,Arada,ET140109
Addis Ababa,Region 14,Gulele,ET140110
Addis Ababa,Region 14,Lemi Kura,ET140111
Dire Dawa,Dire Dawa urban,Sabian,ET150103
Dire Dawa,Dire Dawa urban,Malka Jabti /M.Jebdu),ET150104
Dire Dawa,Dire Dawa urban,Legehare,ET150105
Dire Dawa,Dire Dawa urban,Addis Ketema (DD),ET150109
Dire Dawa,Dire Dawa urban,Gende Kore,ET150110
Dire Dawa,Dire Dawa urban,Dechatu,ET150111
Dire Dawa,Dire Dawa urban,Hafat Issa,ET150112
Dire Dawa,Dire Dawa urban,Kazira,ET150113
Dire Dawa,Dire Dawa urban,Police Maret,ET150114
Dire Dawa,Dire Dawa rural,Aseliso,ET150201
Dire Dawa,Dire Dawa rural,Jeldessa,ET150206
Dire Dawa,Dire Dawa rural,Wahil,ET150207
Dire Dawa,Dire Dawa rural,Biyoawale,ET150208
Sidama,Sidama,Shebe Dino,ET160001
Sidama,Sidama,Hawassa Zuria,ET160002
Sidama,Sidama,Arbegona,ET160003
Sidama,Sidama,Dale,ET160004
Sidama,Sidama,Aleta Wendo,ET160005
Sidama,Sidama,Dara,ET160006
Sidama,Sidama,Hulla,ET160007
Sidama,Sidama,Bensa,ET160008
Sidama,Sidama,Aroresa,ET160009
Sidama,Sidama,Boricha,ET160010
Sidama,Sidama,Gorche,ET160011
Sidama,Sidama,Malga,ET160012
Sidama,Sidama,Wonosho,ET160013
Sidama,Sidama,Chire,ET160014
Sidama,Sidama,Bursa,ET160015
Sidama,Sidama,Aleta Chuko,ET160016
Sidama,Sidama,Bona Zuria,ET160017
Sidama,Sidama,Hawasa town,ET160018
Sidama,Sidama,Wondo-Genet,ET160019
Sidama,Sidama,Yirgalem town,ET160020
Sidama,Sidama,Aleta Wondo town,ET160021
Sidama,Sidama,Leku town,ET160022
Sidama,Sidama,Hawela,ET160023
Sidama,Sidama,Bura,ET160024
Sidama,Sidama,Dara Otilicho,ET160025
Sidama,Sidama,Teticha,ET160026
Sidama,Sidama,Chirone,ET160027
Sidama,Sidama,Shafamo,ET160028
Sidama,Sidama,Chabe Gambeltu,ET160029
Sidama,Sidama,Daye town,ET160030
Sidama,Sidama,Hokko,ET160031
Sidama,Sidama,Bilate Zuria,ET160032
Sidama,Sidama,Darara,ET160033
Sidama,Sidama,Daella,ET160034
Sidama,Sidama,Chuko town,ET160035
Sidama,Sidama,Wondo-Genet town,ET160036
Sidama,Sidama,Loka Abaya,ET160037
